#   Copyright (c) European Space Agency, 2024.
#
#   This file is subject to the terms and conditions defined in file 'LICENCE.txt', which
#   is part of this source code package. No part of the package, including
#   this file, may be copied, modified, propagated, or distributed except according to
#   the terms contained in the file ‘LICENCE.txt’.
 22989619581449144 2457010.096166 -338.62 1.42
 22993711812243969 2457010.170169 -341.08 1.70
 27565894819405940 2457092.856649 -338.73 1.41
 27569987068420645 2457092.930660 -340.63 1.43
 29624665178404300 2457130.091203 -335.28 2.20
 37997278005744779 2457281.508798 -330.88 1.24
 52687653750370648 2457547.177378 -320.11 1.61
 60072325242450363 2457680.722202 -319.09 1.87
 61702852954182073 2457710.207118 -315.11 1.12
 68202800816349412 2457827.754668 -305.82 1.53
 81052816639971536 2458060.142534 -290.29 1.42
 82486181452083612 2458086.062277 -294.93 1.53
 82490273693622584 2458086.136278 -294.67 1.75
100312802889225719 2458408.450948 -404.70 1.14
111669627072959442 2458613.834346 -399.65 1.21
112765863248582085 2458633.660613 -398.97 1.10
121996985218154856 2458800.596176 -393.59 2.00
